1, Em que ano se deu a batalha de Alcacer-Quibir?   [A] - 1600   [B] - 1578   [C] - 1587
B,
1, Em que ano foi assinado o Tratado de Tortesilhas? [A] - 1549  [B] - 1449  [C] - 1494
C,
1, Em que batalha desapareceu D. Sebastiao? [A] - Batalha de Aljubarrota   [B] - Batalha de Alcacer-Quibir   [C] - Batalha de Ourique
B,
1, Qual foi o primeiro animal a ser domesticado? [A] - Cao   [B] - Cavalo   [C] - Camelo
A,
1, Onde se desenvolveu a CivilizaCao Egipcia? [A] - Junto ao Rio Nilo   [B] - Sinai   [C] - Junto ao Mar Mediterraneo
A,
1, Entre que seculos se expandiu na Europa o estilo Gotico? [A] - XIII e XVI   [B] - X e XV   [C] - XII e XV
C,
1, O que e um Trovador? [A] - Um marinheiro   [B] - Um poeta   [C] - Um soldado
B,
1, Quem escreveu "Os Lusiadas"? [A] - Gil Vicente   [B] - ECa de Queiros   [C] - Luis de Camoes
C,
1, Em qual das seguintes categorias de cantigas esta presente o universo feminino? [A] - Cantigas de Amor   [B] - Cantigas de Amigo   [C] - Cantigas de Escarnio
B,
1, Qual o nome da tatica utilizada pelos portugueses na Batalha de Aljubarrota? [A] - Tatica da girafa sem pescoCo   [B] - Tatica do Quadrado   [C] - Tatica da Tartaruga
B,
1, Em que ano foi publicada a primeira ediCao de ""Os Maias""? [A] - 1890   [B] - 1895   [C] - 1888"
C,
1, Quem foi o primeiro presidente de Portugal? [A] - Manuel de Arriaga   [B] - Joao de Assis   [C] - Oliveira Salazar
A,
1, Em que ano ocorreu a revoluCao de 25 de Abril? [A] - 1964   [B] - 1974   [C] - 1984
B,
1, Em que ano nasceu Luis de Camoes? [A] - 1524   [B] - 1630   [C] - 1530
A,
1, Em que ano os Portugueses descobriram o Brasil? [A] - 1490   [B] - 1524   [C] - 1500
C,
1, Quem escreveu os "Maias"? [A] - Fernando Pessoa   [B] - ECa de Queiros   [C] - Camoes
B,
1, Quantos anos durou a Segunda Guerra Mundial? [A] - 4   [B] - 5   [C] - 6
C,
1, Complete o nome do filme: "A lista de..." [A] - Hitler   [B] - Schindler   [C] - Stalin
B,
1, Em que ano comeCou a Primeira Guerra Mundial? [A] - 1914   [B] - 1904   [C] - 1910
A,
1, Qual o atual Presidente Italiano? [A] - Giorgio Napolitano   [B] - Silvio Berlusconi   [C] - Sergio Mattarella
C,
2, Onde fica PaCos de Brandao? [A] - Russia   [B] - Japao   [C] - Portugal
C,
2, Qual a maior empresa de transportes aereos Portugueses? [A] - TAP   [B] - Ryanair   [C] - Portugalia
A,
2, Onde fica a cidade de Sagres? [A] - Aveiro   [B] - Algarve   [C] - Coimbra
B,
2, Onde se situa a cidade Poiters? [A] - FranCa   [B] - Holanda   [C] - Zimbabwe
A,
2, Onde se situa o Coliseu de Roma? [A] - EUA   [B] - Roma   [C] - Brasil
B,
2, Estados Unidos da America pertencem a que continente? [A] - America   [B] - Asia   [C] - Pangea
A,
2, Quantos continentes existem na Terra? [A] - 2   [B] - 6   [C] - 14
B,
2, Qual e o maior continente da Terra? [A] - America   [B] - Asia   [C] - Europa
B,
2, Quais o menor e maior pais do mundo? [A] - Vaticano & Russia   [B] - Nauru & China   [C] - Sao Marino & India
A,
2, Qual destes paises e transcontinental? [A] - Russia   [B] - Filipinas   [C] - Istambul
A,
2, Que paises fazem fronteira com o Equador? [A] - Brasil & Colombia   [B] - Colombia & Peru   [C] - Colombia & Venezuela
B,
2, Qual e o maior arquipelago da Terra? [A] - ACores   [B] - Bahamas   [C] - Indonesia
C,
2, Em que oceano fica Madagascar? [A] - Oceano Atlantico   [B] - Oceano Antartico   [C] - Oceano Indico
C,
2, Qual destes Paises nao e Europeu?  [A] - Casaquistao   [B] - Macedonia   [C] - Grecia
A,
2, Qual destes nao e uma ilha? [A] - Barbados   [B] - Indonesia   [C] - Libia
C,
2, Qual destes Paises esta presente em dois continentes? [A] - Russia   [B] - Istambul   [C] - India
A,
2, Qual e a capital da Russia? [A] - Moscovo   [B] - Sao Petersburgo   [C] - Sochi
A,
2, Que pais tem mais ilhas no mundo? [A] - Italia   [B] - Suecia   [C] - Espanha
B,
2, Qual e a capital do Canada? [A] - Toronto   [B] - Ottawa   [C] - Vancouver
B,
2, Qual e a mais alta cordilheira do mundo? [A] - Denali   [B] - Kilimanjaro   [C] - Everest
C,
3, Com que idade Cristiano Ronaldo ganhou a sua primeira bola de Ouro? [A] - 23   [B] - 21   [C] - 20
A,
3, Quantos atletas estao no campo ao mesmo tempo num jogo de basket? [A] - 12   [B] - 6   [C] - 10
C,
3, Em que ano foi fundada a NBA? [A] - 1946   [B] - 1954   [C] - 1965
A,
3, Quantas equipas competem na NBA? [A] - 20   [B] - 30   [C] - 28
B,
3, Em que ano foi fundada a Uefa Youth League? [A] - 2013   [B] - 2002   [C] - 2010
A,
3, Como se chama a primeira liga inglesa de futebol? [A] - English League   [B] - Premier League   [C] - First League
B,
3, Em que ano nasceu Kobe Bryant? [A] - 1978   [B] - 1979   [C] - 1980
A,
3, Quantas Bolas de Ouro ganhou Ronaldinho Gaucho? [A] - 1   [B] - 2   [C] - 3
B,
3, Quem venceu a Tour de France de 2020? [A] - Primoz Roglic   [B] - Tadej Pogacar   [C] - Nairo Quintana
C,
3, Em quantas ediCoes do Campeonato do Mundo Cristiano Ronaldo fez golo? [A] - 4  [B] - 5   [C] - 6
A,
3, Quem foi eleito o melhor jogador da NBA na epoca 19/20? [A] - Russell Westbrook   [B] - James Harden   [C] - Lebron James
B,
3, Qual foi o atleta a fixar o novo recorde do mundo da maratona em 2h01m39s? [A] - Dennis Kimetto  [B] - Eliud Kipchoge  [C] - Haile Gebrselassie
B,
3, Quantos golos marcou Ricardinho na conquista de Portugal ao Europeu de futsal em Fevereiro deste ano na Eslovénia? [A] - 7  [B] - 10  [C] - 5
A,
3, Quem foi o tenista portugues que venceu pela primeira vez um Estoril Open? [A] - Gastao Elias   [B] - Joao Sousa  [C] - Frederico Gil
B,
3, Quantos Grandes Premios venceu Miguel Oliveira em 2018 no Moto 2? [A] - 1  [B] - 5  [C] - 3
C,
3, Quantas medalhas de ouro Fernando Pimenta venceu nos Mundiais de Canoagem que aconteceram em Agosto, em Montemor-o-Velho? [A] - 2  [B] - 4  [C] - 6
A,
3, Quantos titulos mundiais de Formula 1 ja conquistou Lewis Hamilton? [A] - 5  [B] - 3  [C] - 7
A,
3, Quantas taCas de Portugal tem o Belenenses? [A] - 1  [B] - 2  [C] - 3
C,
3, Qual destes joga Golfe? [A] - Matias Zaracho  [B] - Tiger Woods  [C] - Corey Taylor
B,
3, Quem marcou o famoso golo conhecido por "A mao de Deus"? [A] - Luis Suarez  [B] - Ronaldinho  [C] - Maradona
C,
3, Em que ano o Boavista foi campeao de futebol? [A] - 2000  [B] - 2001  [C] - 2002
B,
3, Qual o melhor marcador de sempre da Liga Portuguesa? [A] - Liedson  [B] - Cardozo  [C] - Falcao
A,
4, Qual o elemento quimico com o simbolo 'O'? [A] - Oxigenio   [B] - Ferro   [C] - Fosforo
A,
4, Que tipo de Animal e o golfinho? [A] - Mamifero   [B] - Anfibio   [C] - Ave
A,
4, Qual era a nacionalidade de Albert Einstein? [A] - Mexicano   [B] - Alemao   [C] - Belga
B,
4, Qual o principal composto do ser humano? [A] - Areia   [B] - Sangue   [C] - Agua
C,
4, Qual o animal com maior media de vida? [A] - Tartaruga   [B] - Baleia   [C] - Esquilo
A,
4, Quantos meses de gestacCao tem um gato? [A] - 5   [B] - 9   [C] - 3
C,
4, Qual e o simbolo quimico do azoto? [A] - N   [B] - O   [C] - C
A,
4, O CU e que elemento da tabela periodica? [A] - Carbono   [B] - Cobre   [C] - Cloro
B,
4, Qual e o maior osso do corpo humano? [A] - Femur   [B] - Tibia   [C] - Maxilar
A,
4, Qual e o menor osso do corpo humano? [A] - Tarsos   [B] - Estribo   [C] - Fibula
B,
4, Qual e o maior orgao do corpo humano? [A] - Intestino delgado   [B] - Pele   [C] - Estomago
B,
4, Que ciencia estuda a vida animal e vegetal no mar? [A] - Biologia Marinha   [B] - Bioquimica   [C] - Herpetologia
A,
4, Como se chama a teoria do fenomeno que deu origem ao universo? [A] - Big Ben   [B] - Apple Pen   [C] - Big Bang
C,
4, Quantos ossos tem o corpo humano? [A] - 2   [B] - 206   [C] - 198
B,
4, Qual destas substancias e neutra? [A] - Agua alcalina   [B] - Agua destilada  [C] - Agua da nascente
B,
4, Que raCa de cao e branco com pintas pretas? [A] - Huskey   [B] - Beagle   [C] - Dalmata
C,
4, Como se chamava o supercontinente? [A] - Pangea   [B] - Gondwana   [C] - Coreia
A,
4, Atualmente quantos elementos quimicos tem a tabela periodica? [A] - 118   [B] - 92   [C] - 5.6
A,
4, Quanto tempo a luz demora a chegar a Terra? [A] - 12 minutos   [B] - 12 horas   [C] - 8 minutos
C,
4, Qual e o primeiro planeta do Sistema Solar? [A] - Saturno   [B] - Venus   [C] - Mercurio
C,